,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date
13,0.367,0.739,11,-7.987,1,0.0411,0.103,0,0.0912,0.328,175.877,audio_features,spotify:track:2FJYXPlTmFPAjTwPS1bMnw,https://api.spotify.com/v1/tracks/2FJYXPlTmFPAjTwPS1bMnw,https://api.spotify.com/v1/audio-analysis/2FJYXPlTmFPAjTwPS1bMnw,306253,4,The Lion and the Lamb,Big Daddy Weave,Beautiful Offerings (Deluxe Edition),2FJYXPlTmFPAjTwPS1bMnw,spotify:artist:4SsMf4SjhOlSqEitcprgBt,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,63.0,2015-09-18
14,0.457,0.362,0,-8.843,1,0.0279,0.637,2.77e-05,0.105,0.153,134.835,audio_features,spotify:track:6iha1ZUpCGUJrrQLDSFYux,https://api.spotify.com/v1/tracks/6iha1ZUpCGUJrrQLDSFYux,https://api.spotify.com/v1/audio-analysis/6iha1ZUpCGUJrrQLDSFYux,289747,3,Come As You Are,Crowder,Neon Steeple,6iha1ZUpCGUJrrQLDSFYux,spotify:artist:39xmI59WrIMyyJjSDq6WCu,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,65.0,2014-01-01
15,0.436,0.434,0,-9.394,1,0.0295,0.0912,1.52e-06,0.0768,0.204,143.869,audio_features,spotify:track:7u2LysBrtCxMztzFYRUojH,https://api.spotify.com/v1/tracks/7u2LysBrtCxMztzFYRUojH,https://api.spotify.com/v1/audio-analysis/7u2LysBrtCxMztzFYRUojH,221805,4,Even Now,Leah Paschall,Even Now,7u2LysBrtCxMztzFYRUojH,spotify:artist:173uICvHhsYJNLaGk8iLYr,[],,35.0,2022-03-18
16,0.49,0.805,2,-4.578,1,0.0424,0.00289,3.19e-06,0.141,0.166,109.951,audio_features,spotify:track:3QhL4eWBVv64IycG3i9XTb,https://api.spotify.com/v1/tracks/3QhL4eWBVv64IycG3i9XTb,https://api.spotify.com/v1/audio-analysis/3QhL4eWBVv64IycG3i9XTb,298520,4,Glorious Day - Live,Passion,Worthy Of Your Name (Live),3QhL4eWBVv64IycG3i9XTb,spotify:artist:6piIAIurGAryW5h1rqQC16,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,65.0,2017-02-17
17,0.539,0.971,11,-3.797,0,0.215,0.0042,0,0.648,0.42,128.025,audio_features,spotify:track:3wvFggj1ihpMGOecTVSanj,https://api.spotify.com/v1/tracks/3wvFggj1ihpMGOecTVSanj,https://api.spotify.com/v1/audio-analysis/3wvFggj1ihpMGOecTVSanj,246787,4,Endless Praise - Live,Planetshakers,Endless Praise (Live),3wvFggj1ihpMGOecTVSanj,spotify:artist:5A0SFJQSdSjFHGcndiGT1s,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,57.0,2014-03-11
18,0.534,0.704,2,-8.356,1,0.0284,0.0117,0.000955,0.0769,0.158,90.008,audio_features,spotify:track:3G9NZCY67HGVI3wt33buHq,https://api.spotify.com/v1/tracks/3G9NZCY67HGVI3wt33buHq,https://api.spotify.com/v1/audio-analysis/3G9NZCY67HGVI3wt33buHq,318324,4,Royal Entrance,Arrows,Royal Entrance,3G9NZCY67HGVI3wt33buHq,spotify:artist:0WbzNOl1bRvigCUwzhtjJl,[],,41.0,2022-02-25
19,0.584,0.89,7,-5.485,1,0.0322,0.000298,3.63e-06,0.145,0.383,146.005,audio_features,spotify:track:5AdKaYFJr2e7LuTbZCayCJ,https://api.spotify.com/v1/tracks/5AdKaYFJr2e7LuTbZCayCJ,https://api.spotify.com/v1/audio-analysis/5AdKaYFJr2e7LuTbZCayCJ,255619,4,Move In Miracles,Shelly E. Johnson,Move In Miracles,5AdKaYFJr2e7LuTbZCayCJ,spotify:artist:51ivlzD9Vuy7pi21E3FF67,[],,41.0,2022-02-04
20,0.381,0.532,2,-7.842,1,0.0372,0.00318,0,0.098,0.1,143.774,audio_features,spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,https://api.spotify.com/v1/tracks/0VqMBJyeeRA4I6mSPO5uqZ,https://api.spotify.com/v1/audio-analysis/0VqMBJyeeRA4I6mSPO5uqZ,302577,4,Holy Spirit,Francesca Battistelli,If We're Honest (Deluxe Version),0VqMBJyeeRA4I6mSPO5uqZ,spotify:artist:29ywwKkxfoH7iWwNY1UezA,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,64.0,2014-04-22
21,0.348,0.51,7,-7.06,1,0.0289,0.292,0.00952,0.123,0.0838,139.136,audio_features,spotify:track:2bK2wlYEPubUG2GupCCPjd,https://api.spotify.com/v1/tracks/2bK2wlYEPubUG2GupCCPjd,https://api.spotify.com/v1/audio-analysis/2bK2wlYEPubUG2GupCCPjd,310186,4,Surround Me,Elevate Church Music,Surround Me,2bK2wlYEPubUG2GupCCPjd,spotify:artist:4OnK5vIKlrMHoSdCSuMLkK,[],,41.0,2022-02-13
22,0.46,0.465,2,-12.493,1,0.0332,0.0427,0.00329,0.085,0.173,141.028,audio_features,spotify:track:4nKi14P1nubTkhETCFoPgn,https://api.spotify.com/v1/tracks/4nKi14P1nubTkhETCFoPgn,https://api.spotify.com/v1/audio-analysis/4nKi14P1nubTkhETCFoPgn,350000,4,Heaven Found Me,NewSpring Worship,Heaven Found Me,4nKi14P1nubTkhETCFoPgn,spotify:artist:1wUcqswHv80fp5nMF2hVwM,['anthem worship'],,39.0,2022-01-28
23,0.437,0.551,11,-9.116,1,0.0307,0.00696,0.00397,0.102,0.145,144.121,audio_features,spotify:track:6eC11uITpnmGtgTjzCbV6y,https://api.spotify.com/v1/tracks/6eC11uITpnmGtgTjzCbV6y,https://api.spotify.com/v1/audio-analysis/6eC11uITpnmGtgTjzCbV6y,248356,3,Higher Love,Riley Harrison Clark,Higher Love,6eC11uITpnmGtgTjzCbV6y,spotify:artist:2wRK19LM6qhuG2EqkSAl2r,[],,43.0,2022-02-11
24,0.245,0.597,10,-7.998,1,0.0349,0.00413,0,0.0993,0.0579,151.684,audio_features,spotify:track:6lLozbL0VtjIGKEm7Eeh2j,https://api.spotify.com/v1/tracks/6lLozbL0VtjIGKEm7Eeh2j,https://api.spotify.com/v1/audio-analysis/6lLozbL0VtjIGKEm7Eeh2j,295464,4,Come Have Everything,Jonathan Turner,Come Have Everything,6lLozbL0VtjIGKEm7Eeh2j,spotify:artist:2UN7nXiNisIAnnun9WZ1qJ,[],,38.0,2022-02-11
25,0.616,0.488,7,-7.513,1,0.0265,0.473,5.34e-05,0.106,0.501,75.0,audio_features,spotify:track:6RlliUfY8hTxnaK85e6D5Z,https://api.spotify.com/v1/tracks/6RlliUfY8hTxnaK85e6D5Z,https://api.spotify.com/v1/audio-analysis/6RlliUfY8hTxnaK85e6D5Z,222397,4,Better Than A Hallelujah,Amy Grant,Somewhere Down The Road,6RlliUfY8hTxnaK85e6D5Z,spotify:artist:72Nhcx7prNk2ZCxhx0Y5es,"['adult standards', 'christian music']",,50.0,2010
26,0.305,0.437,9,-7.327,1,0.0319,0.205,2.61e-05,0.105,0.0392,143.443,audio_features,spotify:track:7lWozVBrvBZp8xpARVxmaJ,https://api.spotify.com/v1/tracks/7lWozVBrvBZp8xpARVxmaJ,https://api.spotify.com/v1/audio-analysis/7lWozVBrvBZp8xpARVxmaJ,297214,4,All I Have,CCV Music,All I Have,7lWozVBrvBZp8xpARVxmaJ,spotify:artist:70Gna7fVbm97TQzkkWai3e,[],,47.0,2022-01-28
27,0.452,0.865,9,-6.518,1,0.0398,0.000436,4.4e-06,0.646,0.147,76.991,audio_features,spotify:track:2SaCvZYfLbezG0UGeffr1S,https://api.spotify.com/v1/tracks/2SaCvZYfLbezG0UGeffr1S,https://api.spotify.com/v1/audio-analysis/2SaCvZYfLbezG0UGeffr1S,291028,4,You Won It All (Heaven's Champion) [Live],Victory House Worship,You Won It All (Live),2SaCvZYfLbezG0UGeffr1S,spotify:artist:6kzOnutG18rqaBCLzY0gwI,[],,42.0,2022-02-11
28,0.491,0.872,9,-7.427,1,0.0395,0.00741,0.0028,0.112,0.659,177.967,audio_features,spotify:track:4Cz2HcaQrsyBDw3ycWNISG,https://api.spotify.com/v1/tracks/4Cz2HcaQrsyBDw3ycWNISG,https://api.spotify.com/v1/audio-analysis/4Cz2HcaQrsyBDw3ycWNISG,277462,4,The Lion Still Roars,Arrows,The Lion Still Roars,4Cz2HcaQrsyBDw3ycWNISG,spotify:artist:0WbzNOl1bRvigCUwzhtjJl,[],,43.0,2022-01-28
29,0.39,0.457,9,-7.915,1,0.0327,0.0874,8.9e-06,0.123,0.145,143.977,audio_features,spotify:track:4PYOh644yKjYyvyVUHqcof,https://api.spotify.com/v1/tracks/4PYOh644yKjYyvyVUHqcof,https://api.spotify.com/v1/audio-analysis/4PYOh644yKjYyvyVUHqcof,290413,3,Great Are You Lord - Live,All Sons & Daughters,Live,4PYOh644yKjYyvyVUHqcof,spotify:artist:44LPOpECjnIlnwH91wo2ir,"['anthem worship', 'ccm', 'christian music', 'christian uplift', 'indiecoustica', 'roots worship', 'world worship', 'worship']",,63.0,2013-04-21
30,0.194,0.324,1,-12.412,1,0.0338,0.902,0.196,0.109,0.157,169.758,audio_features,spotify:track:2s1a8wNeH6IiOSowWj9veS,https://api.spotify.com/v1/tracks/2s1a8wNeH6IiOSowWj9veS,https://api.spotify.com/v1/audio-analysis/2s1a8wNeH6IiOSowWj9veS,213730,3,Be Thou My Vision,Audrey Assad,Inheritance,2s1a8wNeH6IiOSowWj9veS,spotify:artist:1GKYNY4rIPnOuTfC0J1IWw,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'indiecoustica', 'roots worship', 'world worship', 'worship']",,58.0,2016-02-12
31,0.217,0.466,0,-6.156,1,0.0346,0.0167,2.58e-05,0.152,0.173,149.398,audio_features,spotify:track:6WSFMa721PvfnspCRsGOMh,https://api.spotify.com/v1/tracks/6WSFMa721PvfnspCRsGOMh,https://api.spotify.com/v1/audio-analysis/6WSFMa721PvfnspCRsGOMh,318693,3,How He Loves,David Crowder Band,Church Music,6WSFMa721PvfnspCRsGOMh,spotify:artist:7DhP3bGT7dzr1dCkkH5mTS,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'roots worship', 'world worship', 'worship']",,65.0,2009-01-01
32,0.339,0.874,10,-5.794,0,0.0716,0.00241,0,0.366,0.16,151.96,audio_features,spotify:track:3JTAiYMIby5pLUjJCcuYSS,https://api.spotify.com/v1/tracks/3JTAiYMIby5pLUjJCcuYSS,https://api.spotify.com/v1/audio-analysis/3JTAiYMIby5pLUjJCcuYSS,462013,4,The Anthem (Full Song) - Live,Planetshakers,Limitless (Live),3JTAiYMIby5pLUjJCcuYSS,spotify:artist:5A0SFJQSdSjFHGcndiGT1s,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,53.0,2013-01-13
33,0.519,0.76,2,-4.41,1,0.0349,0.0319,1.59e-05,0.241,0.149,130.03,audio_features,spotify:track:1dtzjTkNecIRAL4X3u4CtL,https://api.spotify.com/v1/tracks/1dtzjTkNecIRAL4X3u4CtL,https://api.spotify.com/v1/audio-analysis/1dtzjTkNecIRAL4X3u4CtL,261693,4,We Believe,Newsboys,Restart,1dtzjTkNecIRAL4X3u4CtL,spotify:artist:1SZMaiNHfdUuU0qZKZ6y62,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,62.0,2013-01-01
34,0.318,0.573,1,-5.653,1,0.0324,0.107,0,0.0854,0.0765,156.054,audio_features,spotify:track:0jOSpB2zK2O0SNxj8ZT5lp,https://api.spotify.com/v1/tracks/0jOSpB2zK2O0SNxj8ZT5lp,https://api.spotify.com/v1/audio-analysis/0jOSpB2zK2O0SNxj8ZT5lp,305427,4,How Great Is Our God,Chris Tomlin,How Great Is Our God: The Essential Collection,0jOSpB2zK2O0SNxj8ZT5lp,spotify:artist:6pRi6EIPXz4QJEOEsBaA0m,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,67.0,2011-01-01
35,0.425,0.601,8,-7.532,1,0.0308,0.0122,0.000503,0.0906,0.088,144.009,audio_features,spotify:track:70ER6vkUI8BWhI8uXLAvGJ,https://api.spotify.com/v1/tracks/70ER6vkUI8BWhI8uXLAvGJ,https://api.spotify.com/v1/audio-analysis/70ER6vkUI8BWhI8uXLAvGJ,273013,3,Power of the Cross,Shelly E. Johnson,Power of the Cross,70ER6vkUI8BWhI8uXLAvGJ,spotify:artist:51ivlzD9Vuy7pi21E3FF67,[],,40.0,2022-03-04
36,0.595,0.894,11,-4.115,1,0.0323,0.000583,1.24e-06,0.326,0.643,101.987,audio_features,spotify:track:2XEdrmqNM9ZQQ24ViuceB0,https://api.spotify.com/v1/tracks/2XEdrmqNM9ZQQ24ViuceB0,https://api.spotify.com/v1/audio-analysis/2XEdrmqNM9ZQQ24ViuceB0,223427,4,"Hello, My Name Is",Matthew West,Into The Light,2XEdrmqNM9ZQQ24ViuceB0,spotify:artist:6e8OTLDQpaz1Tl2GEaxsNj,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,63.0,2012-01-01
37,0.533,0.536,0,-7.255,1,0.0322,0.0498,0,0.191,0.246,110.573,audio_features,spotify:track:4v8GJxLdvUiN7R31cKcmNL,https://api.spotify.com/v1/tracks/4v8GJxLdvUiN7R31cKcmNL,https://api.spotify.com/v1/audio-analysis/4v8GJxLdvUiN7R31cKcmNL,187293,4,Broken Things,Matthew West,All In,4v8GJxLdvUiN7R31cKcmNL,spotify:artist:6e8OTLDQpaz1Tl2GEaxsNj,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,62.0,2017-09-22
38,0.602,0.831,7,-5.97,1,0.0284,0.0525,0,0.0788,0.902,124.035,audio_features,spotify:track:5Y5XkIARKHYaYEZa5tMWPU,https://api.spotify.com/v1/tracks/5Y5XkIARKHYaYEZa5tMWPU,https://api.spotify.com/v1/audio-analysis/5Y5XkIARKHYaYEZa5tMWPU,176037,4,You're The Fire,Arrows,You're The Fire,5Y5XkIARKHYaYEZa5tMWPU,spotify:artist:0WbzNOl1bRvigCUwzhtjJl,[],,38.0,2022-03-25
39,0.607,0.686,10,-4.611,1,0.0306,0.00245,4.56e-06,0.0901,0.268,132.032,audio_features,spotify:track:5RvY3ReERt9o622MqEydNY,https://api.spotify.com/v1/tracks/5RvY3ReERt9o622MqEydNY,https://api.spotify.com/v1/audio-analysis/5RvY3ReERt9o622MqEydNY,252240,4,Need You Now (How Many Times),Plumb,Need You Now (Deluxe Edition),5RvY3ReERt9o622MqEydNY,spotify:artist:2tbxcCCM7A71cmkzuB8lyH,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,52.0,2012
40,0.74,0.587,9,-4.338,1,0.072,0.0464,4.04e-06,0.159,0.651,142.018,audio_features,spotify:track:6eBNUcu4T5tWhE0rGDwtTP,https://api.spotify.com/v1/tracks/6eBNUcu4T5tWhE0rGDwtTP,https://api.spotify.com/v1/audio-analysis/6eBNUcu4T5tWhE0rGDwtTP,181508,4,Help Is On The Way (Maybe Midnight),TobyMac,Help Is On The Way (Maybe Midnight),6eBNUcu4T5tWhE0rGDwtTP,spotify:artist:5VX8hxrcfJWwaTLiqGUHG3,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']",,63.0,2021-02-19
41,0.455,0.639,2,-6.567,0,0.0333,0.0374,0,0.0992,0.484,165.993,audio_features,spotify:track:7s2AninaWICPPvch6wBctw,https://api.spotify.com/v1/tracks/7s2AninaWICPPvch6wBctw,https://api.spotify.com/v1/audio-analysis/7s2AninaWICPPvch6wBctw,218665,4,You've Always Been,Unspoken,Reason,7s2AninaWICPPvch6wBctw,spotify:artist:0CqDqmyIQ9VQHQp52OEbB0,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']",,62.0,2019-06-21
42,0.324,0.708,11,-4.646,1,0.0356,0.0142,0,0.133,0.144,155.76,audio_features,spotify:track:1rXQLRlZfNTj8uaxIsEZQi,https://api.spotify.com/v1/tracks/1rXQLRlZfNTj8uaxIsEZQi,https://api.spotify.com/v1/audio-analysis/1rXQLRlZfNTj8uaxIsEZQi,295307,3,Death Was Arrested (feat. Seth Condrey),North Point Worship,Death Was Arrested (feat. Seth Condrey),1rXQLRlZfNTj8uaxIsEZQi,spotify:artist:1IGGfstLsypGtdI55tT3Z1,"['anthem worship', 'ccm', 'world worship']",,64.0,2017-02-17
43,0.47,0.531,5,-6.238,1,0.0299,0.321,0,0.0899,0.476,170.046,audio_features,spotify:track:4NttfcvjeRPvDe58UvnuTV,https://api.spotify.com/v1/tracks/4NttfcvjeRPvDe58UvnuTV,https://api.spotify.com/v1/audio-analysis/4NttfcvjeRPvDe58UvnuTV,228600,3,Truth I'm Standing On,Leanna Crawford,Truth I'm Standing On,4NttfcvjeRPvDe58UvnuTV,spotify:artist:3dm6lDgdQh05XDHGhb9XQf,"['ccm', 'christian indie', 'christian pop']",,58.0,2020-03-27
